tweet,cleaning,preprocessing,Nama Universitas,longitude,latitude,label
Banyak banget kipk salah sasaran di Undip nih mestinya bisa jadi pelajaran buat penyelenggara nya buat lebih selektif lagi. Kalo udah viral gini sih harus banget diselidiki satu persatu.,banyak banget kipk salah sasaran di undip nih mestinya bisa jadi pelajaran buat penyelenggara nya buat lebih selektif lagi kalo udah viral gini sih harus banget diselidiki satu persatu ,kipk salah sasar undip nih mesti ajar selenggara nya selektif viral sih selidik satu,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
lanjutkan unchdeep spill anak kipk yg salah sasaran itu ,lanjutkan unchdeep spill anak kipk yg salah sasaran itu ,lanjut unchdeep spill anak kipk salah sasar,Universitas Diponegoro,110.440107056068,-7.0483698,Neutral
hmmm sedang ramai soal kipk sebenernya di jenjang sma/smk jg banyak yg salah sasaran....,hmmm sedang ramai soal kipk sebenernya di jenjang sma smk jg banyak yg salah sasaran ,hmmm ramai kipk jenjang sekolah tengah juru salah sasar,,,,Negative
@undipmenfess Daripada energi dihabiskan menyerang satu persatu penerima kipk salah sasaran yang sepertinya tidak ada habisnya mending yang diserang pembuat kebijakan agar hal spt ini tdk terjadi lagi. Juga protes agar ukt lebih terjangkau, undipmenfess daripada energi dihabiskan menyerang satu persatu penerima kipk salah sasaran yang sepe inya tidak ada habisnya mending yang diserang pembuat kebijakan agar hal spt ini tdk terjadi lagi juga protes agar ukt lebih terjangkau,undipmenfess energi habis serang satu terima kipk salah sasar sepe inya ada habis mending serang buat bijak surat pemberitahuan tahun protes ukt jangkau,Universitas Diponegoro,110.440107056068,-7.0483698,Positive
Kayaknya pemerintah atau penyelenggara KIPK atau whateber you called ini perlu evaluasi lagi deh proses seleksi kipk buanyak banget daritadi aku liat kayaknya yg salah sasaran malah jadi mupuk mental korupsi gini,kayaknya pemerintah atau penyelenggara kipk atau whateber you called ini perlu evaluasi lagi deh proses seleksi kipk buanyak banget daritadi aku liat kayaknya yg salah sasaran malah jadi mupuk mental korupsi gini,kayak perintah selenggara kipk whateber called evaluasi deh proses seleksi kipk lihat kayak salah sasar mupuk mental korupsi,,,,Negative
Penerima KIPK salah sasaran pasti lagi ketar-ketir skrg,penerima kipk salah sasaran pasti lagi ketar ketir skrg,terima kipk salah sasar ketar tir,,,,Negative
@undipmenfess pls Kemendikbud atau siapapun yang mengurus KIPK KJMU tolong ditelurusi lagi biar gak salah sasaran gini., undipmenfess pls kemendikbud atau siapapun yang mengurus kipk kjmu tolong ditelurusi lagi biar gak salah sasaran gini ,undipmenfess tolong menteri didik budaya urus kipk kjmu tolong turus biar salah sasar,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
Banyak banget TL yg lewat hari ini tentang KIPK yg salah sasaran mana yang dapet orang orang mampu semua lagi. Semoga kedepannya bisa diperbaiki lagi sistem KIPK agar tidak salah sasaran,banyak banget tl yg lewat hari ini tentang kipk yg salah sasaran mana yang dapet orang orang mampu semua lagi semoga kedepannya bisa diperbaiki lagi sistem kipk agar tidak salah sasaran,lini kipk salah sasar orang orang moga depan baik sistem kipk salah sasar,,,,Negative
@undipmenfess Penerima kipk salah sasaran banyak bet njirr, undipmenfess penerima kipk salah sasaran banyak bet njirr,undipmenfess terima kipk salah sasar anjir,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
Yaelah lu kayak gatau aja tuh pemakan2 kipk lain yg juga salah sasaran GAK AKAN nyerahin diri hidup enak tentram juga krn less likely org bakal lapor entah krn takut kespill Cepu dan gapunya bukti juga.,yaelah lu kayak gatau aja tuh pemakan2 kipk lain yg juga salah sasaran gak akan nyerahin diri hidup enak tentram juga krn less likely org bakal lapor entah krn takut kespill cepu dan gapunya bukti juga ,yaelah pemakan2 kipk salah sasar nyerahin hidup enak tentram less likely orang lapor takut kespill cepu bukti,,,,Neutral
@undipmenfess Anjirrrrrrrrrr banyak amat kipk salah sasaran, undipmenfess anjirrrrrrrrrr banyak amat kipk salah sasaran,undipmenfess anjirrrrrrrrrr kipk salah sasar,Universitas Diponegoro,110.440107056068,-7.0483698,Neutral
udah dibilang kipk tuh kebanyakan salah sasaran cuman populasi 2% aja yang bener bener emang ga mampu bayar sisanya wallahualam.,udah dibilang kipk tuh kebanyakan salah sasaran cuman populasi 2 aja yang bener bener emang ga mampu bayar sisanya wallahualam ,bilang kipk banyak salah sasar populasi 2 bayar sisa wallahualam,,,,Negative
@sbmptnfess aku ga iri sama iPhone nya aku iri sama gaya hidup nya yang ga harus pusing mikirin ukt dan biaya hidup lagi (khusus yang salah sasaran alias udah kaya tapi dapet kipk)., sbmptnfess aku ga iri sama iphone nya aku iri sama gaya hidup nya yang ga harus pusing mikirin ukt dan biaya hidup lagi khusus yang salah sasaran alias udah kaya tapi dapet kipk ,sbmptnfess iri iphone nya iri gaya hidup nya pusing pikir ukt biaya hidup khusus salah sasar alias kipk,Universitas Sumatera Utara,98.6568033374916,3.56132175,Negative
@terpamungkas Kata anak saya banyak anak2 penerima kipk itu pke Ipon yg terbaru kan salah sasaran bgt njiirr.., terpamungkas kata anak saya banyak anak2 penerima kipk itu pke ipon yg terbaru kan salah sasaran bgt njiirr ,pamungkas anak anak anak terima kipk pakai ipon baru salah sasar anjir,Universitas Negeri Gorontalo,123.062666148111,0.5546668,Negative
@undipmenfess bukan korban mah jatuhnya pelaku.. kamu salah satu kipk yg ga tepat sasaran ya?, undipmenfess bukan korban mah jatuhnya pelaku kamu salah satu kipk yg ga tepat sasaran ya ,undipmenfess korban jatuh laku salah kipk sasar ya,Universitas Diponegoro,110.440107056068,-7.0483698,Positive
ngomong2 soal kipk salah sasaran di kelasku jg ada anak penerima kip tp dia bisa ngonser beli lighstick collect photocard make up nya mahal2 kayak skintific intinya hidupnya hedon bgtttt emg kipk salah sasaran tu sebanyak itu,ngomong2 soal kipk salah sasaran di kelasku jg ada anak penerima kip tp dia bisa ngonser beli lighstick collect photocard make up nya mahal2 kayak skintific intinya hidupnya hedon bgtttt emg kipk salah sasaran tu sebanyak itu,bicara bicara kipk salah sasar kelas ada anak terima kip ngonser beli lighstick collect photocard pakai up nya mahal mahal skintific inti hidup boros kipk salah sasar,,,,Negative
@undipmenfess Hahahah anak kipk ternyata yang salah sasaran emang Hedon bgt yak, undipmenfess hahahah anak kipk ternyata yang salah sasaran emang hedon bgt yak,undipmenfess haha anak kipk salah sasar boros ya,Universitas Diponegoro,110.440107056068,-7.0483698,Neutral
satu per satu dispill semua pengguna KIPK salah sasaran ni wkwkwk,satu per satu dispill semua pengguna kipk salah sasaran ni wkwkwk,dispill guna kipk salah sasar nih wkwk,,,,Negative
@berkulyeah Yups yg bikin banyak anak putus kuliah itu ya pemerintah sebenarnya gak mampu bikin sistem fair sesuai dengan pendapatan masyarakat Indonesia akhinya UKT gila an harganya Bikin bantuan kipk begini juga bnyk salah sasaran artinya dari awal udah ada yg salah sistemnya, berkulyeah yups yg bikin banyak anak putus kuliah itu ya pemerintah sebenarnya gak mampu bikin sistem fair sesuai dengan pendapatan masyarakat indonesia akhinya ukt gila an harganya bikin bantuan kipk begini juga bnyk salah sasaran a inya dari awal udah ada yg salah sistemnya,berkulyeah iya bikin anak putus kuliah ya perintah bikin sistem fair sesuai dapat masyarakat indonesia ukt gila an harga bikin bantu kipk salah sasar a inya ada salah sistem,Universita Teuku Umar,96.2034255956254,4.14449791067428,Negative
yg lolos program KIPK salah sasaran cakep cakep semua anjirr curiga ada pemain di belakang layar ini mah,yg lolos program kipk salah sasaran cakep cakep semua anjirr curiga ada pemain di belakang layar ini mah,lolos program kipk salah sasar cakap cakap anjir curiga ada main layar,,,,Negative
@undipmenfess kipk kebanyakan salah sasaran apa gmnsih, undipmenfess kipk kebanyakan salah sasaran apa gmnsih,undipmenfess kipk banyak salah sasar gmnsih,Universitas Diponegoro,110.440107056068,-7.0483698,Positive
sinting bgt responnya kok kaya gaterima gitu ngespill anak kipk yg salah sasaran?? km anak kipk yhh???,sinting bgt responnya kok kaya gaterima gitu ngespill anak kipk yg salah sasaran km anak kipk yhh ,sinting responnya gaterima ngespill anak kipk salah sasar anak kipk yhh,,,,Negative
KIPK yg salah sasaran itu buat orang orang yg mental miskin wkwk,kipk yg salah sasaran itu buat orang orang yg mental miskin wkwk,kipk salah sasar orang orang mental miskin wkwk,,,,Negative
ini cuma Undip aja kah yang lagi ngincer KIPK salah sasaran? seru bgt gua scroll isi nya base undip wkwk,ini cuma undip aja kah yang lagi ngincer kipk salah sasaran seru bgt gua scroll isi nya base undip wkwk,undip kah incar kipk salah sasar seru scroll isi nya base undip wkwk,Universitas Diponegoro,110.440107056068,-7.0483698,Positive
coba yang penerima kipk salah sasaran di um tolong di spill juga dong,coba yang penerima kipk salah sasaran di um tolong di spill juga dong,coba terima kipk salah sasar um tolong spill,,,,Negative
@brunisuh tapi jujur jadi takut salah sasaran ini dijadikan alasan pemerintah buat hilangin bantuan KIPK tapi semoga engga yaa, brunisuh tapi jujur jadi takut salah sasaran ini dijadikan alasan pemerintah buat hilangin bantuan kipk tapi semoga engga yaa,brunisuh jujur takut salah sasar jadi alas perintah hilang bantu kipk moga ya,,,,Negative
Spall spill kipk salah sasaran undip emang seru. Tp aku jg setuju kalo akan lebih keren andai seluruh mahasiswa bisa bersatu &amp; berserikat buat demo turunin ukt,spall spill kipk salah sasaran undip emang seru tp aku jg setuju kalo akan lebih keren andai seluruh mahasiswa bisa bersatu amp berserikat buat demo turunin ukt,spall spill kipk salah sasar undip seru tuju keren andai mahasiswa satu serikat demo turunin ukt,Universitas Diponegoro,110.440107056068,-7.0483698,Positive
@jjhoneyss @undipmenfess gokilll bener dah ni hidup anak2 kipk salah sasaran. kok bisa ya keterima, jjhoneyss undipmenfess gokilll bener dah ni hidup anak2 kipk salah sasaran kok bisa ya keterima,jjhoneyss undipmenfess gila nih hidup anak anak kipk salah sasar ya terima,Universitas Diponegoro,110.440107056068,-7.0483698,Positive
@undipmenfess sering bgt ya kipk salah sasaran gini https://t.co/Drrxwwu6Ba, undipmenfess sering bgt ya kipk salah sasaran gini ,undipmenfess ya kipk salah sasar,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
allah emang ga tidur karma makan hak orang lain sampe aib nya ke bongkar se akar²nya . aku yg kelas menengah engap bngt mau ikut kipk ga berani karna takut ada yang lebih membutuhkan. liat kipk yg pada salah sasaran rasanya aku pen nangis aja,allah emang ga tidur karma makan hak orang lain sampe aib nya ke bongkar se akar nya aku yg kelas menengah engap bngt mau ikut kipk ga berani karna takut ada yang lebih membutuhkan liat kipk yg pada salah sasaran rasanya aku pen nangis aja,allah tidur karma makan hak orang aib nya bongkar akar nya kelas tengah pengap kipk berani takut ada butuh lihat kipk salah sasar menang,Universita Teuku Umar,96.2034255956254,4.14449791067428,Negative
@tanyarlfes Suka bingung gimana cerita KIPK dll bisa salah sasaran kayak pernah KTP ku kok bisa masuk list penerima bansos semacamnya gitu sampe ga bisa daftar kartu prakerja di tolak mulu, tanyarlfes suka bingung gimana cerita kipk dll bisa salah sasaran kayak pernah ktp ku kok bisa masuk list penerima bansos semacamnya gitu sampe ga bisa daftar ka u prakerja di tolak mulu,tanyarlfes suka bingung cerita kipk salah sasar kartu tanda duduk ku masuk list terima bansos macam daftar kakak prakerja tolak,Universitas Negeri Gorontalo,123.062666148111,0.5546668,Negative
gaabis pikir lagi kok bisa KIPK salah sasaran tuh gimana,gaabis pikir lagi kok bisa kipk salah sasaran tuh gimana,habis pikir kipk salah sasar,,,,Neutral
@undipmenfess ini pasti sendernya salah satu penerima kipk yg salah sasaran itu, undipmenfess ini pasti sendernya salah satu penerima kipk yg salah sasaran itu,undipmenfess kirim salah terima kipk salah sasar,Universitas Diponegoro,110.440107056068,-7.0483698,Positive
Eh gak kuat banget ngeliat tweets kipk salah sasaran?? Banyak banget??,eh gak kuat banget ngeliat tweets kipk salah sasaran banyak banget ,eh kuat twit kipk salah sasar,,,,Negative
@rrrascal__ Aku speak up kek gini sebagai korban yang di bully karena perkara dr beli sbucks 54k padahal mereka gak tau hidup aku kek gimana? Tiap hari raya yang dibahas uang uang uang mereka gak ngerti klo misal gak semua penerima KIPK itu salah sasaran., rrrascal aku speak up kek gini sebagai korban yang di bully karena perkara dr beli sbucks 54k padahal mereka gak tau hidup aku kek gimana tiap hari raya yang dibahas uang uang uang mereka gak nge i klo misal gak semua penerima kipk itu salah sasaran ,rrrascal speak up korban bully perkara beli sbucks 54k hidup raya bahas uang uang uang nge i terima kipk salah sasar,,,,Negative
seru bgt org org pd spill kipk salah sasaran keep it up!,seru bgt org org pd spill kipk salah sasaran keep it up ,seru orang orang spill kipk salah sasar keep it up,,,,Neutral
@lchizue Jangankan KIPK bidikmisi aja banyak yg salah sasaran, lchizue jangankan kipk bidikmisi aja banyak yg salah sasaran,lchizue kipk bidikmisi salah sasar,,,,Neutral
@adharaf_ @undipmenfess Another day another salah satu KIPK salah sasaran lagi, adharaf undipmenfess another day another salah satu kipk salah sasaran lagi,adharaf undipmenfess another day another salah kipk salah sasar,Universitas Diponegoro,110.440107056068,-7.0483698,Neutral
Inipun gasadar diri juga. Kesel bgt bbrp hari ini ngeliat kipk ga tepat sasaran padahal jauh lebih banyak mahasiswa/i dari keluarga menengah yang butuh bantuan buat bayar ukt tapi gadapat hanya karena salah satu ortu nya pns. Memang kontol,inipun gasadar diri juga kesel bgt bbrp hari ini ngeliat kipk ga tepat sasaran padahal jauh lebih banyak mahasiswa i dari keluarga menengah yang butuh bantuan buat bayar ukt tapi gadapat hanya karena salah satu o u nya pns memang kontol,ini sadar kesal kipk sasar mahasiswa i keluarga tengah butuh bantu bayar ukt gadapat salah o nya pegawai negeri sipil kontol,Universita Teuku Umar,96.2034255956254,4.14449791067428,Negative
perasaan tiap hari ada aja yg kena spill kipk salah sasaran,perasaan tiap hari ada aja yg kena spill kipk salah sasaran,asa ada kena spill kipk salah sasar,,,,Positive
@tanyarlfes Kipk bener benee salah sasaran kayak mna sih seleksi nya, tanyarlfes kipk bener benee salah sasaran kayak mna sih seleksi nya,tanyarlfes kipk benee salah sasar sih seleksi nya,,,,Positive
@anggapph2 Yeeee kipk aja banyak yang salah sasaran mahasiswa yang harusnya dapet malah ga dapet. Justru kalo memang stan bukan satu satunya jalan kenapa harus ditutup? Kenapa malah mengurangi solusi buat kuliah tanpa terhalang biaya?, anggapph2 yeeee kipk aja banyak yang salah sasaran mahasiswa yang harusnya dapet malah ga dapet justru kalo memang stan bukan satu satunya jalan kenapa harus ditutup kenapa malah mengurangi solusi buat kuliah tanpa terhalang biaya ,anggapph2 iya kipk salah sasar mahasiswa stan satu jalan tutup kurang solusi kuliah halang biaya,Universita Teuku Umar,96.2034255956254,4.14449791067428,Positive
Diliat liat ini kipk salah sasaran kebanyakan cewek cewek emang doyan flexing ternyata...,diliat liat ini kipk salah sasaran kebanyakan cewek cewek emang doyan flexing ternyata ,lihat kipk salah sasar banyak cewek cewek suka flexing,,,,Negative
@tanyakanrl isi tl gw akhir ini: timnas u23 ija kipk ija bully penerima kipk salah sasaran yg lain joce plot twist pelaku bully juga, tanyakanrl isi tl gw akhir ini timnas u23 ija kipk ija bully penerima kipk salah sasaran yg lain joce plot twist pelaku bully juga,tanyakanrl isi lini timnas u23 ija kipk ija bully terima kipk salah sasar joce plot twist laku bully,,,,Negative
Gud! Lanjutikan laj spall spill penerima dana kipk yang salah sasaran itu biar ga jadi bibit koruptor,gud lanjutikan laj spall spill penerima dana kipk yang salah sasaran itu biar ga jadi bibit koruptor,gud lanjutikan laj spall spill terima dana kipk salah sasar biar bibit koruptor,,,,Positive
